Item_ID	Verb	Complement	Sentence	Environment	Subject	VerbNiteID	CompNiteID
668:51	think	--n4012e7	and i, i, i tend --n4012cc to, i think --n4012e7, overreact occasionally when somebody tells me it's that great --n40131e.		i	sw2010_s39_18	sw2010_s39_520
677:13	admit	i did look at my watch after about an hour	although, i must admit i did look at my watch after about an hour.		i	sw2010_s44_5	sw2010_s44_505
700:26	think	--n401c7b	those are two definite must see movies, i think --n401c7b.		i	sw2010_s58_10	sw2010_s58_508
707:10	think	it's very t-	i don't think it's very t-,	negation	i	sw2010_s63_4	sw2010_s63_504
712:14	think	they're both excellent movies	but, uh, i think they're both excellent movies.		i	sw2010_s68_6	sw2010_s68_504
755:168	know	it was going --n403324 to be good	the, the difficulty with, with dancing with wolves is that when you make a movie like that --n403297, and you produce it --n4032b2, and then you star in it --n4032d5, uh, the question is, did he, did he really know it was going --n403324 to be good	question	he	sw2010_s100_57	sw2010_s100_556
760:27	think	he really knew it was going --n40371e to be as big as it was	but i, i don't think he really knew it was going --n40371e to be as big as it was.	negation	i	sw2010_s104_10	sw2010_s104_509
760:39	knew	it was going --n40371e to be as big as it was	but i, i don't think he really knew it was going --n40371e to be as big as it was.		he	sw2010_s104_14	sw2010_s104_514
761:5	think	it was something that he really wanted --n40387f to do --n40388e	i think it was something that he really wanted --n40387f to do --n40388e.		i	sw2010_s105_2	sw2010_s105_503
765:7	think	he just really w-, he really wanted it	and i think he just really w-, he really wanted it.		i	sw2010_s109_3	sw2010_s109_503
766:79	think	he would have been happy	and whether it, whether it won all kinds of awards or whether it just was okay at the box office, i think he would have been happy.		i	sw2010_s110_27	sw2010_s110_527
832:8	think	we've done enough	i should think we've done enough.		i	sw2010_s151_3	sw2010_s151_504
848:5	think	it just says hang up	i think it just says hang up.		i	sw2010_s161_2	sw2010_s161_503
868:20	think	i agree with that	i, i think i agree with that.		i	sw2012_s6_7	sw2012_s6_508
869:5	think	in a good example on the typical thing that --n4009a7 happens, uh, when the phone rang --n4009ce and it's t i --n4009ed calling, my immediate reaction is that it's some sort of strange phone message	i think in a good example on the typical thing that --n4009a7 happens, uh, when the phone rang --n4009ce and it's t i --n4009ed calling, my immediate reaction is that it's some sort of strange phone message		i	sw2012_s7_2	sw2012_s7_503
886:22	think	that i receive on, on the order of, uh, probably, seven or eight a week calls of the nature where one wishes that there were a convenient way --n401185 to just hang up on it --n4011a4 --n4011ab	uh, and at the same time i think that i receive on, on the order of, uh, probably, seven or eight a week calls of the nature where one wishes that there were a convenient way --n401185 to just hang up on it --n4011a4 --n4011ab.		i	sw2012_s18_9	sw2012_s18_506
900:5	think	they prey on people's, um, inherent politeness on the phone even with the machine	i think they prey on people's, um, inherent politeness on the phone even with the machine.		i	sw2012_s26_2	sw2012_s26_503
904:8	think	that's what --n401c2f makes one feel invaded	and i think that's what --n401c2f makes one feel invaded is the fact that there seems --n401c5e to be little control		i	sw2012_s29_3	sw2012_s29_504
922:12	think	i would have thought about that	and i don't think i would have thought about that.	negation	i	sw2012_s39_5	sw2012_s39_504
923:5	think	that's a good idea on your part	i think that's a good idea on your part.		i	sw2012_s40_2	sw2012_s40_503
931:22	think	that it's quite low, at least in this country	and, i'd like --n402be8 to think that it's quite low, at least in this country.		--n402be8	sw2012_s47_8	sw2012_s47_508
935:10	think	i'd like the k g b is monitoring my phone or anything like that	i don't think i'd like the k g b is monitoring my phone or anything like that.	negation	i	sw2012_s49_4	sw2012_s49_504
1048:7	realized	i have --n405e4c to behave in a certain way in order --n405e73 to not have people invade my privacy	but i realized i have --n405e4c to behave in a certain way in order --n405e73 to not have people invade my privacy.		i	sw2012_s120_3	sw2012_s120_503
1084:19	realized	i could go out on the street and act like a complete lunatic	but on the other hand, i realized i could go out on the street and act like a complete lunatic,		i	sw2012_s145_8	sw2012_s145_505
1100:43	realized	that's actually something that --n407931's culturally relative	and it wasn't until i was thinking about it just now that i realized that's actually something that --n407931's culturally relative.		i	sw2012_s155_15	sw2012_s155_515
1198:7	think	a law should be passed --n40147b to where any of these people	and i think a law should be passed --n40147b to where any of these people,		i	sw2015_s38_3	sw2015_s38_503
1199:5	think	it --n401557's great, that you know, freedom of speech in this country and everything	i think it --n401557's great, that you know, freedom of speech in this country and everything,		i	sw2015_s39_2	sw2015_s39_503
1239:7	think	they should also respect the sanctity of the american home, whether it be in a house or in an apartment	but i think they should also respect the sanctity of the american home, whether it be in a house or in an apartment.		i	sw2015_s75_3	sw2015_s75_503
1242:25	know	they exist	otherwise, i don't want --n403233 to know they exist.		--n403233	sw2015_s78_9	sw2015_s78_509
1277:20	think	that that would stop people	but you know i don't think that that would stop people.	negation	i	sw2015_s110_7	sw2015_s110_508
1301:5	believe	we've pretty much summed everything up	i believe we've pretty much summed everything up.		i	sw2015_s127_2	sw2015_s127_503
1304:7	remember	you, you talked about something	but i remember you, you talked about something,		i	sw2015_s129_3	sw2015_s129_503
1366:5	think	there really is	i think there really is.		i	sw2018_s19_2	sw2018_s19_503
1373:5	think	you have --n4006ff to push one	i think you have --n4006ff to push one		i	sw2018_s23_2	sw2018_s23_503
1389:17	know	when my mother was a, you know, going into the work force --n400a6f there wasn't very many opportunities for her, i guess	i know because, i know when my mother was a, you know, going into the work force --n400a6f there wasn't very many opportunities for her, i guess,		i	sw2018_s33_6	sw2018_s33_507
1395:5	think	no-, now, you go to work when they're six weeks old, you know --n400df3	i think no-, now, you go to work when they're six weeks old, you know --n400df3,		i	sw2018_s38_2	sw2018_s38_503
1404:5	think	it's definitely gotten better	i think it's definitely gotten better.		i	sw2018_s44_2	sw2018_s44_503
1420:7	know	at least in the medical field, it seems like they've come out with a lot further advances as far as female medications and things since women have gotten into the doctor field	and i know at least in the medical field, it seems like they've come out with a lot further advances as far as female medications and things since women have gotten into the doctor field.		i	sw2018_s54_3	sw2018_s54_503
1424:10	think	that men really took the time to work on that sort of thing --n40167b	i don't think that men really took the time to work on that sort of thing --n40167b.	negation	i	sw2018_s56_4	sw2018_s56_504
1438:5	think	that would be the best goal	i think that would be the best goal.		i	sw2018_s64_2	sw2018_s64_503
1465:5	think	that would be a wonderful way to do it --n402222	i think that would be a wonderful way to do it --n402222.		i	sw2018_s83_2	sw2018_s83_503
1516:7	think	that's real nice too, to come up with different options	so i think that's real nice too, to come up with different options.		i	sw2018_s114_3	sw2018_s114_503
1524:5	think	it's great	i think it's great.		i	sw2018_s119_2	sw2018_s119_503
1577:5	think	it's great	i think it's great,		i	sw2018_s154_2	sw2018_s154_503
1616:8	think	we've really come a long way in that	well i think we've really come a long way in that because,		i	sw2018_s181_3	sw2018_s181_504
1634:7	know	she probably didn't make hardly anything, you know, compared to the work that she did --n4056ab	and i know she probably didn't make hardly anything, you know, compared to the work that she did --n4056ab.		i	sw2018_s194_3	sw2018_s194_503
1638:5	think	there is still some discrimination there where as, you know, men and women work in the same job --n40581d	i think there is still some discrimination there where as, you know, men and women work in the same job --n40581d,		i	sw2018_s196_2	sw2018_s196_503
1639:5	think	men get paid --n40593c more	i think men get paid --n40593c more,		i	sw2018_s197_2	sw2018_s197_503
1643:7	think	that's improving	but i think that's improving.		i	sw2018_s199_3	sw2018_s199_503
1646:12	see	that it's wrong	but, you can see that it's wrong		you	sw2018_s202_5	sw2018_s202_504
1657:5	think	it's getting better, not worse	i think it's getting better, not worse.		i	sw2018_s209_2	sw2018_s209_503
1705:10	think	i like	um, i think i like,		i	sw2020_s22_4	sw2020_s22_504
1712:10	think	i like a lot	i think i like a lot, i like a little bit of a lot of different types of music.		i	sw2020_s27_3	sw2020_s27_506
1756:70	think	--n401e2f	the, the piece of music, the piece of music was about, i think --n401e2f about forty or fifty years old.		i	sw2020_s53_24	sw2020_s53_527
1773:14	thinks	it --n40283a's pretty funny how often i know all of the words to songs that she's listening to --n402889 --n402890	and, uh, she thinks it --n40283a's pretty funny how often i know all of the words to songs that she's listening to --n402889 --n402890,		she	sw2020_s65_6	sw2020_s65_504
1774:12	thought	they were brand new, original pieces	and yet, she thought they were brand new, original pieces.		she	sw2020_s66_5	sw2020_s66_504
1786:5	think	it's kind of absurd, you know, the fact that, you know, they don't really, they don't really give, you know, the original artist, or the original composer, the credit that --n402dd5 is really due to them	i think it's kind of absurd, you know, the fact that, you know, they don't really, they don't really give, you know, the original artist, or the original composer, the credit that --n402dd5 is really due to them.		i	sw2020_s71_2	sw2020_s71_503
1830:5	think	that was a cov-	i think that was a cov-,		i	sw2020_s98_2	sw2020_s98_503
1831:39	think	that was a cover version of, like a john lee hooker song, or something	you know, come --n403ecb to think of it, i think that was a cover version of, like a john lee hooker song, or something,		i	sw2020_s99_13	sw2020_s99_516
1843:51	thought	--n4043ac were horrendous cover versions of	i mean i've heard some songs that, that i just thought --n4043ac were horrendous cover versions of,		i	sw2020_s107_16	sw2020_s107_521
1856:20	think	a good one was, um	i, i think a good one was, um,		i	sw2020_s116_7	sw2020_s116_508
1864:7	thought	it was hideous	and i thought it was hideous.		i	sw2020_s121_3	sw2020_s121_503
1884:5	think	it was in high school	i think it was in high school.		i	sw2020_s135_2	sw2020_s135_503
1887:5	think	that probably what --n40534e did it for him was the fact that he was a good stage performer	i think that probably what --n40534e did it for him was the fact that he was a good stage performer.		i	sw2020_s137_2	sw2020_s137_503
1891:5	remember	i saw him in a huge stadium in, uh, philadelphia	i remember i saw him in a huge stadium in, uh, philadelphia.		i	sw2020_s140_2	sw2020_s140_503
1959:47	think	--n406ca5	but, what, what paul simon's doing --n406c8e, i think --n406ca5 is, is, is great because he's, you know i think, i think that using, i guess what they call --n406d38 it is --n406d47 eclectic, you know. --n406d62 drawing from a lot of different sources and making, you know, a synthesis of a new type of music.		i	sw2020_s184_16	sw2020_s184_517
2005:5	think	that they don't use, elec-	i think that they don't use, elec-,		i	sw2020_s214_2	sw2020_s214_503
2303:10	know	that i read anything strictly labeled self improvement	i don't know that i read anything strictly labeled self improvement.	negation	i	sw2024_s39_4	sw2024_s39_504
2374:5	think	if somebody would say hey, read these ten books because these are self-improvements, i would probably be turned --n403ec9 off to them	i think if somebody would say hey, read these ten books because these are self-improvements, i would probably be turned --n403ec9 off to them.		i	sw2024_s83_2	sw2024_s83_503
2401:14	think	sometimes the word is a little over used	but, uh, i think sometimes the word is a little over used		i	sw2024_s101_6	sw2024_s101_504
2407:38	think	we, we name drop it a little too much and, and don't fully understand what, what it is --n404d99 we're saying	yeah, we, we have, i think we, we name drop it a little too much and, and don't fully understand what, what it is --n404d99 we're saying.		i	sw2024_s104_14	sw2024_s104_515
2408:5	think	it's just focusing in on the issue and walking your talk	i think it's just focusing in on the issue and walking your talk		i	sw2024_s105_2	sw2024_s105_503
2419:10	think	i'm under my quota a little bit	um, i think i'm under my quota a little bit.		i	sw2024_s112_4	sw2024_s112_504
2473:37	know	that they're going --n40163e to be there	and, and, you know, if i know that they're going --n40163e to be there, you know, you, i try --n401671 to really watch it and like you say, you know, really dress up	conditional	i	sw2027_s30_13	sw2027_s30_513
2477:11	know	they're not, you know	and if i know they're not, you know,	conditional	i	sw2027_s32_4	sw2027_s32_505
2490:22	thought	i had one funny story	as a matter of fact, i thought i had one funny story		i	sw2027_s40_8	sw2027_s40_508
2503:20	know	we weren't supposed --n4023a2 to	and so, we didn't really know we weren't supposed --n4023a2 to,		we	sw2027_s51_8	sw2027_s51_506
2504:5	thought	t i dress code was just dress appropriate to your job	we thought t i dress code was just dress appropriate to your job,		we	sw2027_s52_2	sw2027_s52_503
2509:10	know	that was a big no, no	we didn't know that was a big no, no.	negation	we	sw2027_s55_4	sw2027_s55_504
2516:11	realized	that we weren't regulars in the warehouse there	he should have realized that we weren't regulars in the warehouse there.		he	sw2027_s60_4	sw2027_s60_505
2524:47	know	you're not supposed --n402c93 to do that	he didn't at, at least say to us, did you know you're not supposed --n402c93 to do that.	question	you	sw2027_s66_17	sw2027_s66_515
2601:8	think	t i's dress code is pretty lax considering everything, anyway	well i think t i's dress code is pretty lax considering everything, anyway, you know, uh.		i	sw2027_s118_3	sw2027_s118_504
2644:10	know	that that would be a good environment to work in --n40594f	i don't know that that would be a good environment to work in --n40594f.	negation	i	sw2027_s145_4	sw2027_s145_504
2733:9	think	a lot of times it's, it's mainly who they're going --n4082ed to meet with --n408300	but, i think a lot of times it's, it's mainly who they're going --n4082ed to meet with --n408300,		i	sw2027_s207_4	sw2027_s207_503
2734:29	know	--n408447 is going --n408456 to be dressed --n408469 that way	or they're meeting with people that they know --n408447 is going --n408456 to be dressed --n408469 that way then that's how they are --n408490.		they	sw2027_s208_9	sw2027_s208_513
2746:43	know	--n408b67 are going --n408b76 to be dressed down	if when they're meeting with the engineers who they know --n408b67 are going --n408b76 to be dressed down --n408b8d, if they come in, in, you know, a six hundred dollar three piece suit, it's going --n408bec to make the people they're meeting with --n408c17 feel very uncomfortable, you know,	conditional	they	sw2027_s215_13	sw2027_s215_519
2822:5	think	right now it's like sixty-nine	i think right now it's like sixty-nine,		i	sw2028_s20_2	sw2028_s20_503
2842:14	think	a lot of people have contracted, uh, spring fever too	and, uh, i think a lot of people have contracted, uh, spring fever too,		i	sw2028_s34_6	sw2028_s34_504
2902:5	thought	i heard this morning that in san antonio it was in the nineties yesterday	i thought i heard this morning that in san antonio it was in the nineties yesterday.		i	sw2028_s67_2	sw2028_s67_503
2913:61	believe	that the wind blows all the time	it's amazing to me because i have only lived in dallas for three years, and i can not believe that the wind blows all the time.	negation	i	sw2028_s75_23	sw2028_s75_521
2970:10	thought	i heard a little tennessee in there somewhere	well, i thought i heard a little tennessee in there somewhere.		i	sw2028_s107_4	sw2028_s107_504
3070:5	know	that's what we're supposed --n405112 to do --n405121	i know that's what we're supposed --n405112 to do --n405121.		i	sw2028_s165_2	sw2028_s165_503
3079:10	thought	it --n40543f's not necessary to measure your time, just to go ahead and enjoy the conversation, and, and, end it when needed --n4054b2 --n4054b9	and i always thought it --n40543f's not necessary to measure your time, just to go ahead and enjoy the conversation, and, and, end it when needed --n4054b2 --n4054b9.		i	sw2028_s173_4	sw2028_s173_504
3591:5	know	with	you know with,		you	sw2032_s288_2	sw2032_s288_503
3745:18	think	it --n40214d's wonderful just maybe to go --n402170 get an ice cream cone or, yeah, or, uh, you know, go --n4021bb get a bag of m and m's or something like that	you know the kids just think it --n40214d's wonderful just maybe to go --n402170 get an ice cream cone or, yeah, or, uh, you know, go --n4021bb get a bag of m and m's or something like that,		the kids	sw2035_s57_6	sw2035_s57_508
3749:20	think	that's a lot of fun	they, they think that's a lot of fun.		they	sw2035_s59_7	sw2035_s59_508
3777:7	thought	that was wonderful	the kids thought that was wonderful.		the kids	sw2035_s79_3	sw2035_s79_503
3782:24	think	it's --n402e80	we've only been in, i think it's --n402e80 science place two.		i	sw2035_s83_8	sw2035_s83_510
3799:5	think	it's owens country farms --n403596 has a free petting, you know, like a farm that you can go to --n4035dd	i think it's owens country farms --n403596 has a free petting, you know, like a farm that you can go to --n4035dd		i	sw2035_s95_2	sw2035_s95_503
3817:16	think	that was a lot of fun	and, uh, the kids think that was a lot of fun, too.		the kids	sw2035_s107_7	sw2035_s107_504
3823:7	think	it --n403d00's wonderful just --n403d13 to go to mcdonald's	or they think it --n403d00's wonderful just --n403d13 to go to mcdonald's, you know,		they	sw2035_s111_3	sw2035_s111_503
3847:5	think	maybe we'll try --n4043dd to do that	i think maybe we'll try --n4043dd to do that.		i	sw2035_s126_2	sw2035_s126_503
3860:9	thought	that was lot of fun	but, they thought that was lot of fun.		they	sw2035_s136_4	sw2035_s136_503
3865:10	think	that was better than like showbiz pizza cause there's more for them to do --n404ac0	an, i think that was better than like showbiz pizza cause there's more for them to do --n404ac0.		i	sw2035_s139_4	sw2035_s139_504
4082:10	think	they should show it during prime time	i don't think they should show it during prime time,	negation	i	sw2039_s106_4	sw2039_s106_504
4121:28	think	--n403209	it could be t i --ers, i think --n403209, probably are participating more than anybody else,		i	sw2039_s131_10	sw2039_s131_511
4125:5	think	that's something we all ca-	i think that's something we all ca-,		i	sw2039_s134_2	sw2039_s134_503
4179:25	think	what they are trying --n404087 to say --n404096, is that there is a great deal of historical truth, but the interpretation that --n4040e1 actually got into the writing of the bible itself is probably uh, after the what, uh, was is it --n40414c the king james version when the committee did it, wrote the translation --n404187, that so much was lost --n4041a6 in the translation, particularly since most of the translations were in greek	uh, i, i think what they are trying --n404087 to say --n404096, is that there is a great deal of historical truth, but the interpretation that --n4040e1 actually got into the writing of the bible itself is probably uh, after the what, uh, was is it --n40414c the king james version when the committee did it, wrote the translation --n404187, that so much was lost --n4041a6 in the translation, particularly since most of the translations were in greek.		i	sw2039_s166_9	sw2039_s166_509
4295:17	admit	i have a certain resistance to the idea of exercising for exercising's sake	and i have --n401081 to admit i have a certain resistance to the idea of exercising for exercising's sake,		--n401081	sw2041_s31_6	sw2041_s31_507
4431:14	realize	that they ha-, were going --n403703 to reach out to people from, all over the country	and, i didn't realize that they ha-, were going --n403703 to reach out to people from, all over the country.	negation	i	sw2041_s116_6	sw2041_s116_504
4460:10	think	people are, are more inc-, um, um	well, i think people are, are more inc-, um, um,		i	sw2041_s137_4	sw2041_s137_504
4496:10	think	that's because they've realized that for whole health, that, the, you know, you have --n4058b8 to have that combination, or that people are motivated --n4058e7 that way so that they've incorporated that into their program	now do you think that's because they've realized that for whole health, that, the, you know, you have --n4058b8 to have that combination, or that people are motivated --n4058e7 that way so that they've incorporated that into their program.	question	you	sw2041_s161_4	sw2041_s161_504
4496:32	realized	that for whole health, that, the, you know, you have --n4058b8 to have that combination, or that people are motivated --n4058e7 that way so that they've incorporated that into their program	now do you think that's because they've realized that for whole health, that, the, you know, you have --n4058b8 to have that combination, or that people are motivated --n4058e7 that way so that they've incorporated that into their program.	question	they	sw2041_s161_11	sw2041_s161_513
4500:7	think	the program came first or the	do you think the program came first or the,	question	you	sw2041_s163_3	sw2041_s163_503
4518:27	know	that they've got --n4060ef to get their money somewhere	from institutes of learning like that, i know that they've got --n4060ef to get their money somewhere,		i	sw2041_s177_9	sw2041_s177_511
4556:14	think	they tend --n40739e to be older in the rural ar-	well, don't you think they tend --n40739e to be older in the rural ar-.	question	you	sw2041_s203_6	sw2041_s203_504
4557:23	think	that it's almost frantic effort on the part of the people in the city	i, i sometimes think that it's almost frantic effort on the part of the people in the city.		i	sw2041_s204_8	sw2041_s204_509
4597:14	think	a lot of that is diet too	well, don't you think a lot of that is diet too.	question	you	sw2041_s230_6	sw2041_s230_504
4696:5	think	the topic was crime in the city	i think the topic was crime in the city.		i	sw2051_s2_2	sw2051_s2_503
4754:10	think	nowadays people just, really just	um, i think nowadays people just, really just,		i	sw2051_s36_4	sw2051_s36_504
4772:10	think	that the best hope to eliminate crime, as we know it today is to eliminate the criminals from society	well, i think that the best hope to eliminate crime, as we know it today is to eliminate the criminals from society.		i	sw2051_s47_4	sw2051_s47_504
4886:20	think	that's very important	i, i think that's very important.		i	sw2051_s117_7	sw2051_s117_508
4925:9	think	that's the normal thing to do --n404aaf	they just think that's the normal thing to do --n404aaf, don't they...	question	they	sw2051_s143_3	sw2051_s143_505
4995:46	think	the major corporations should pay attention to --n405fc1	and one of the things that --n405f7a's in their culture that i really think the major corporations should pay attention to --n405fc1, is the fact that, while japan was becoming a great power, financially, the people that --n406014 worked for those companies, worked for the same company they worked for --n406053 at sixty-five, as they did when they were eighteen --n406082.		i	sw2051_s188_15	sw2051_s188_518
5095:14	think	i have, what was it --n40128f two hundred	and, uh, i think i have, what was it --n40128f two hundred,		i	sw2053_s46_6	sw2053_s46_504
5096:17	thinking	the money that i've got --n401372 invested --n40137d in this is, uh	and i got --n401347 to thinking the money that i've got --n401372 invested --n40137d in this is, uh,		--n401347	sw2053_s47_6	sw2053_s47_507
5206:35	think	--n402e0a	i just started about, well, five years ago, i think --n402e0a.		i	sw2053_s118_13	sw2053_s118_511
5214:7	think	the other one is going. the child is going --n403177 to be in high school before i get finished	and i think the other one is going. the child is going --n403177 to be in high school before i get finished.		i	sw2053_s124_3	sw2053_s124_503
5234:30	think	--n403845	it's an-, cloth i think --n403845.		i	sw2053_s136_10	sw2053_s136_512
5244:23	believe	that they know that i had done it in the colors, that they had decorated the nursery --n403a6f	and the lady said she couldn't believe that they know that i had done it in the colors, that they had decorated the nursery --n403a6f	negation	she	sw2053_s142_9	sw2053_s142_508
5244:33	know	that i had done it in the colors, that they had decorated the nursery --n403a6f	and the lady said she couldn't believe that they know that i had done it in the colors, that they had decorated the nursery --n403a6f		they	sw2053_s142_12	sw2053_s142_512
5250:20	know	those are the colors we used --n403cc8	and she said how did you know those are the colors we used --n403cc8 --n403ccf.	question	you	sw2053_s146_7	sw2053_s146_508
5270:16	know	she doesn't get --n404303 to touch it	she said, i know she doesn't get --n404303 to touch it.		i	sw2053_s160_6	sw2053_s160_507
5335:10	know	even if you watched a b c, n b c or the other	well, i know even if you watched a b c, n b c or the other,		i	sw2060_s20_4	sw2060_s20_504
5509:7	think	we've been talking for three minutes	but i think we've been talking for three minutes		i	sw2060_s128_3	sw2060_s128_503
5760:21	think	they have maybe two people a year go --n4035dc get, get their p h d	they've, i think they have maybe two people a year go --n4035dc get, get their p h d.		i	sw2061_s147_7	sw2061_s147_509
6077:28	think	--n409661	i mean, they're still around i think --n409661.		i	sw2061_s345_9	sw2061_s345_512
6189:7	think	that, uh, we've probably got one of the best around	and i think that, uh, we've probably got one of the best around, you know,		i	sw2062_s4_3	sw2062_s4_503
6193:7	think	that is just a, a fabulous one	and i think that is just a, a fabulous one,		i	sw2062_s8_3	sw2062_s8_503
6210:14	thinking	that over the years that importance has changed	and i started --n400cdb thinking that over the years that importance has changed		--n400cdb	sw2062_s18_5	sw2062_s18_506
6233:5	think	they have, uh, a-, one that we need --n401d94 to recognize that we're going --n401db3 to have --n401dc2 to supplement --n401dd1 ourselves	i think they have, uh, a-, one that we need --n401d94 to recognize that we're going --n401db3 to have --n401dc2 to supplement --n401dd1 ourselves.		i	sw2062_s37_2	sw2062_s37_503
6233:61	recognize	that we're going --n401db3 to have --n401dc2 to supplement --n401dd1 ourselves	i think they have, uh, a-, one that we need --n401d94 to recognize that we're going --n401db3 to have --n401dc2 to supplement --n401dd1 ourselves.		--n401d94	sw2062_s37_20	sw2062_s37_524
6286:10	think	it's the worst investment, in the world	i don't think it's the worst investment, in the world.	negation	i	sw2062_s70_4	sw2062_s70_504
6324:20	know	that that's taken care of --n404b16	in that way, at least we know that that's taken care of --n404b16, you know.		we	sw2062_s97_8	sw2062_s97_506
6387:5	think	that i probably want --n406213 to be a veterinarian	i think that i probably want --n406213 to be a veterinarian.		i	sw2062_s139_2	sw2062_s139_503
6396:15	think	there's	and then i think there's, i mean i think there's some negatives,		i	sw2062_s145_5	sw2062_s145_507
6396:43	think	there's some negatives	and then i think there's, i mean i think there's some negatives,		i	sw2062_s145_14	sw2062_s145_518
6436:61	thought	--n40782f sounded like a good idea	and they said that t i was looking into it, to purchase extra vacation days. which i thought --n40782f sounded like a good idea.		i	sw2062_s171_21	sw2062_s171_522
6455:12	believe	any of us would have --n4084a9 to purchase any extra vacation days, if they did, that	and i don't believe any of us would have --n4084a9 to purchase any extra vacation days, if they did, that.	negation	i	sw2062_s185_5	sw2062_s185_504
6507:5	think	it would be a great idea	i think it would be a great idea.		i	sw2065_s3_2	sw2065_s3_503
6510:7	think	it would be a great idea	but i think it would be a great idea.		i	sw2065_s6_3	sw2065_s6_503
6545:10	think	that would be real interesting for people to do --n401093	well, i think that would be real interesting for people to do --n401093,		i	sw2065_s27_4	sw2065_s27_504
6565:5	thought	it was a fantastic idea	i thought it was a fantastic idea.		i	sw2065_s39_2	sw2065_s39_503
6571:5	know	that they trained you in the language	i know that they trained you in the language		i	sw2065_s43_2	sw2065_s43_503
6625:153	think	i agree with you one hundred percent about it being some sort of voluntary	i, i, i guess, in my own, having had the whole three or four minutes to, you know, give it a great deal of thought --n4031a8, you know, um, i, i think i agree with you one hundred percent about it being some sort of voluntary,		i	sw2065_s78_55	sw2065_s78_552
6667:5	know	my dad always talked about, uh	i know my dad always talked about, uh,		i	sw2065_s102_2	sw2065_s102_503
6678:5	thought	that was great	he thought that was great.		he	sw2065_s109_2	sw2065_s109_503
6689:5	think	it might build jobs for people, you know, that --n40465c were administrating and running and training and coordinating and all that	i think it might build jobs for people, you know, that --n40465c were administrating and running and training and coordinating and all that,		i	sw2065_s117_2	sw2065_s117_503
6782:5	think	it was in a hispanic area	i think it was in a hispanic area,		i	sw2065_s176_2	sw2065_s176_503
6915:20	think	that i need them	i just, uh, don't think that i need them, you know.	negation	i	sw2067_s8_8	sw2067_s8_506
7000:15	think	i know my number	and i don't even think i know my number.		i	sw2067_s60_6	sw2067_s60_505
7058:11	think	that's the only thing you can do --n402ce0	well, i think that's the only thing you can do --n402ce0, is just say no and mean no and, not be tempted --n402d1f.		i	sw2067_s89_4	sw2067_s89_505
7073:26	think	--n4031d6	everybody in the country is preapproved, i think --n4031d6.		i	sw2067_s98_9	sw2067_s98_510
