Item_ID	Verb	Complement	Sentence	Environment
5328:11	know	0 even if you watched a b c, n b c or the other	well, i know 0 even if you watched a b c, n b c or the other,	
6228:63	recognize	that we're going *-1 to have *-2 to supplement *t*-4 ourselves	i think 0 they have, uh, a-, one that we need *-3 to recognize that we're going *-1 to have *-2 to supplement *t*-4 ourselves.	
6319:21	know	that that's taken care of *-1	in that way, at least we know that that's taken care of *-1, you know.	
6565:6	know	that they trained you in the language	i know that they trained you in the language	
6661:6	know	0 my dad always talked about, uh	i know 0 my dad always talked about, uh,	
7087:97	realize	0 i had this much, you know, i'd spent this much money	and, then, some people they get so wrapped up in them that they find, you know, one day they find, wow, i didn't realize 0 i had this much, you know, i'd spent this much money.	negation
7145:35	realize	0 anything is going on	so the time goes by, you know, before you realize 0 anything is going on.	
7416:6	know	0 it's probably late for you	i know 0 it's probably late for you,	
7506:9	know	that there's certain issues that *t*-1 can really motivate people	mumblex i know that there's certain issues that *t*-1 can really motivate people because we live in a pr-, pr-, predominately catholic type area,	
7775:16	know	0 yankees have won a lot games. through the years	i mean, i know 0 yankees have won a lot games. through the years.	
8059:32	remember	0 i went to my mumblex	when i first started *-1 teaching *t*-2, i remember 0 i went to my mumblex	
8353:8	knew	0 the only way 0 we'd ever have a new home *t*-1 is if he would build it	but he knew 0 the only way 0 we'd ever have a new home *t*-1 is if he would build it.	
8441:23	know	0 we're, it's not going *-1 to fall in or something if it's built *-2	so at least we know 0 we're, it's not going *-1 to fall in or something if it's built *-2.	
8740:23	knew	0 he needed an alarm clock	and i, i knew 0 he needed an alarm clock.	
8774:11	know	that you need *-1 to be involved in a lot of frivolous gift giving	i don't know that you need *-1 to be involved in a lot of frivolous gift giving, you know,	negation
8921:6	know	0 it seems like, she	i know 0 it seems like, she,	
9187:9	admit	0 i'm not always real politically active	i must admit 0 i'm not always real politically active	
9218:53	realize	that they have *-2 to pay if companies don't	and probably the only way 0 that can happen *t*-1 is for, um, governments to realize that they have *-2 to pay if companies don't.	
9224:19	realize	0 they can't have their cake and eat it	people also have *-1 to realize 0 they can't have their cake and eat it.	
9328:42	noticed	that, uh, this year it seems *-1 to have been a lot warmer than it has *?* in the past	uh, but, uh, i've, i've noticed that, uh, this year it seems *-1 to have been a lot warmer than it has *?* in the past.	
9336:9	remember	0 last year, or the year before, uh, we had ice and snow, uh, uh	well i remember 0 last year, or the year before, uh, we had ice and snow, uh, uh,	
9353:35	remember	0 *t*-1	and it was, it was i remember 0 *t*-1 the first day of spring,	
9464:6	know	0 i, i tend * to, i tend *-1 to be able *-2 to get along with monotony in the weather when it's very temperate *t*-3	i know 0 i, i tend * to, i tend *-1 to be able *-2 to get along with monotony in the weather when it's very temperate *t*-3.	
9807:31	admit	that i am *?*	well i guess, 0 i have *-1 to admit that i am *?*.	
9864:11	know	0 they did it long distance	i didn't know 0 they did it long distance.	negation
9907:6	know	that, uh, this last winter was very hard on, uh, several areas in the, in the, the ukraine, particularly the coal mining regions of siberia	i know that, uh, this last winter was very hard on, uh, several areas in the, in the, the ukraine, particularly the coal mining regions of siberia, uh,	
9979:19	admit	0 i kind, i kind of went more *ich*-2 * to see, to see the other team a lot of times than i did the, did the rangers	i'll have *-1 to admit 0 i kind, i kind of went more *ich*-2 * to see, to see the other team a lot of times than i did the, did the rangers,	
10471:14	realize	0 my husband was such a sucker for animals	well i didn't realize 0 my husband was such a sucker for animals until i brought one home one night.	negation
10694:6	know	0 that's how i am *t*-1 about xanadu	i know 0 that's how i am *t*-1 about xanadu.	
11239:65	realized	0 they would be thrown *-2 away	i, i felt a little guilty about *-1 taking the boxes for about two seconds until i realized 0 they would be thrown *-2 away,	
11321:6	know	0 you do yours at work	i know 0 you do yours at work,	
11631:14	know	that it wasn't same situation that the buffalo died in *t*-1	well at least you know that it wasn't same situation that the buffalo died in *t*-1.	
11837:8	notice	that the fly patterns *ich*-1 now of the jets are getting bigger	and i notice that the fly patterns *ich*-1 now of the jets are getting bigger,	
11863:6	notice	0 locally a major problem is kodak	i notice 0 locally a major problem is kodak.	
12419:40	know	that there's a lot of reasons 0 * to wait longer *t*-1	but, i, i, i know that there's a lot of reasons 0 * to wait longer *t*-1	
12462:10	know	0 john sununu is, uh, half arab	and did you know 0 john sununu is, uh, half arab?	question
13153:6	remember	0 mother and dad always turned on the grand ole opera	i remember 0 mother and dad always turned on the grand ole opera.	
13379:8	know	that a lot of these, of course, are random phone calls	and i know that a lot of these, of course, are random phone calls	
13385:8	know	0 you	and i know 0 you	
13414:8	know	that they have sold their mailing list	so i know that they have sold their mailing list.	
13449:6	know	0 when i sit down with the family and want *-1 to have the opportunity, you know, * to talk and see what *t*-2's going on and all those things *t*-3	i know 0 when i sit down with the family and want *-1 to have the opportunity, you know, * to talk and see what *t*-2's going on and all those things *t*-3,	
13529:58	know	that it will forward to, uh, to the office	and, uh, or i will just let the phone ring three or four times and know that it will forward to, uh, to the office.	
13581:6	knew	0 there was some type of a tie in there	i knew 0 there was some type of a tie in there.	
13759:11	know	that there are young people, characterized *, i guess as * being half my age, so that by definition that means, 0 they're young. uh, that, in my work place, who *t*-3 are both of them earning rather decent professional salaries who probably *-4 would consider *-5 paying a woman, uh, eight or nine or ten thousand dollars a year *-1 to take care of their child	uh, i know that there are young people, characterized *, i guess as * being half my age, so that by definition that means, 0 they're young. uh, that, in my work place, who *t*-3 are both of them earning rather decent professional salaries who probably *-4 would consider *-5 paying a woman, uh, eight or nine or ten thousand dollars a year *-1 to take care of their child,	
13772:192	knew	0 there were going *-1 to be four other kids	or * to put their child into a s-, into a home setting, where they would, you know, like they, they would get, leave at eight in the morning and, and drop a two year old off in a home where you knew 0 there were going *-1 to be four other kids *t*-2 *t*-3	
13783:32	know	that they are paying figures on, on the order of what i quoted *t*-1 to someone, because that's what the experience 0 they want *t*-2	uh, i have acquaintances of mine where i know that they are paying figures on, on the order of what i quoted *t*-1 to someone, because that's what the experience 0 they want *t*-2 *t*-3	
13794:6	know	0 the day care centers are not cheap either	i know 0 the day care centers are not cheap either.	
14094:8	knew	that they had presented an extremely slanted viewpoint, that *t*-1 was, in my estimate, nowhere near truth but was much better for ratings	and i knew that they had presented an extremely slanted viewpoint, that *t*-1 was, in my estimate, nowhere near truth but was much better for ratings.	
14340:6	remember	0 he was like a backup	i remember 0 he was like a backup	
15053:11	know	0 i haven't done any peace corps service	um, i know 0 i haven't done any peace corps service,	
16056:6	know	0 it's not smart	they know 0 it's not smart,	
16251:9	know	0 they've been really expensive lately. because they weren't in season	because i know 0 they've been really expensive lately. because they weren't in season,	
17458:6	know	0 it's, it's really hard for me	i know 0 it's, it's really hard for me.	
17940:6	know	0 we don't have enough prisons	i know 0 we don't have enough prisons,	
18748:20	know	0 that, uh, brings an eighty eighty-eight machine to its knees	and that, i know 0 that, uh, brings an eighty eighty-eight machine to its knees because, i had taken it over from a friend who *t*-1 was working on it	
18856:13	know	0 they had a four eighty-six	but i didn't know 0 they had a four eighty-six just yet.	negation
19093:58	knows	that the people just throw cans out *t*-1	my husband about once a weekend he'll go, uh, to a couple of areas where he knows that the people just throw cans out *t*-1.	
19108:6	remember	0 at christmas the, the only thing that i'm	i remember 0 at christmas the, the only thing that i'm,	
19244:11	know	that it's so much *ich*-1 a military threat anymore as a	i don't know that it's so much *ich*-1 a military threat anymore as a,	negation
19431:9	realize	that the origins are, are different and that we all joined under a common direction and a common bond * to begin with, and that they may have been forced *-1	now i realize that the origins are, are different and that we all joined under a common direction and a common bond * to begin with, and that they may have been forced *-1,	
19921:52	realized	0 i had like a thousand more	and i just, i got about like a hundred pages through it and realized 0 i had like a thousand more,	
20021:9	remember	0 sting was in it	i just remember 0 sting was in it.	
20438:8	notice	that when they passed the new simplified tax act *t*-1, it seemed like it made everything harder	did you notice that when they passed the new simplified tax act *t*-1, it seemed like it made everything harder?	question
20477:6	know	0 i get paid *-1 twice a month, every two weeks	i know 0 i get paid *-1 twice a month, every two weeks,	
20744:11	know	0 they will *?*	well, i know 0 they will *?*,	
20761:11	know	that we have some relatives that *t*-1 live around, like the mumblex area in there	well, i know that we have some relatives that *t*-1 live around, like the mumblex area in there,	
20765:6	know	0 they're doing some curbside recycling as a kind of a test there	i know 0 they're doing some curbside recycling as a kind of a test there.	
20881:8	know	that they're going *-1 to use, you know, the money for that *-2 to build some kind of multipurpose field and that type of thing. put lights and stuff	and i know that they're going *-1 to use, you know, the money for that *-2 to build some kind of multipurpose field and that type of thing. put lights and stuff	
20946:6	know	0 they've started over in richardson where my dad lives *t*-1	i know 0 they've started over in richardson where my dad lives *t*-1.	
21560:6	know	0 it affected me when i was younger *t*-1	i know 0 it affected me when i was younger *t*-1.	
22498:11	know	that i could do that	i don't know that i could do that.	negation
22856:8	know	that she's the kind of person who *t*-1 wouldn't allow, you know, a lot of the horror things *ich*-3 to take place that you hear about *t*-2	and i know that she's the kind of person who *t*-1 wouldn't allow, you know, a lot of the horror things *ich*-3 to take place that you hear about *t*-2.	
23109:16	know	0 i need *-1 to do more	i mean, i know 0 i need *-1 to do more.	
23580:20	know	that we're talking about the foundation of our legal society	i think 0 we both know that we're talking about the foundation of our legal society.	
24088:19	know	0 there are some fields which a person should go to the school, that school, all four years *t*-1	depending upon the field, i know 0 there are some fields which a person should go to the school, that school, all four years *t*-1,	
24089:8	know	0 there are some fields where it's really not necessary *t*-1	but i know 0 there are some fields where it's really not necessary *t*-1.	
24191:14	discovered	that i would be far better off *-1 being in the paralegal field. because that's the nuts and bolts of the law, and that's what i like *t*-2	and i've since discovered that i would be far better off *-1 being in the paralegal field. because that's the nuts and bolts of the law, and that's what i like *t*-2,	
24275:11	know	0 one time i was in a political science class	um, i know 0 one time i was in a political science class,	
24519:18	know	0 i certainly wouldn't want *-1 to, to, uh, you know, be endangered *-2 by somebody in a company that *t*-3 accidentally dropped something on me or, or you know, because he was on drugs while he was there	i mean because i know 0 i certainly wouldn't want *-1 to, to, uh, you know, be endangered *-2 by somebody in a company that *t*-3 accidentally dropped something on me or, or you know, because he was on drugs while he was there.	
24549:50	know	0 it's done *-1 fairly	and that's probably my question is, how, how do you know 0 it's done *-1 fairly *t*-2.	question
24551:11	know	that you do	i don't know that you do.	negation
24676:11	know	that i don't use drugs	they don't know that i don't use drugs.	negation
24691:8	know	0 they test most of the service people fairly regularly reg-, uh, just across the board	but i know 0 they test most of the service people fairly regularly reg-, uh, just across the board.	
24795:6	know	0 down here the schools are, you know	i know 0 down here the schools are, you know,	
24924:9	know	0 the town that i come from *t*-1 the, the, uh, the large i b m plant has something 0 * to do *t*-2 with the top rated high school because of their tax base for one	because i know 0 the town that i come from *t*-1 the, the, uh, the large i b m plant has something 0 * to do *t*-2 with the top rated high school because of their tax base for one	
25014:11	know	0 i'm in the, you know	well, i know 0 i'm in the, you know,	
25080:39	know	0 there are benefits to the metric system	i don't think 0 we should *?* either even though i know 0 there are benefits to the metric system,	
25187:6	know	0 you need twenty gallons	you know 0 you need twenty gallons,	
25794:82	knew	0 i could do something	and when, you know when i first got back into it *t*-2, i used *-1 to get mad because i knew 0 i could do something	
25908:11	remember	0 before i got married *-1	well, i remember 0 before i got married *-1,	
27778:24	realize	0 it was very formative for me	but as i look back now i realize 0 it was very formative for me,	
27876:18	knows	0 if they come into my study and, uh, i happen *-1 to have had a tough day at work and maybe i'm trying *-2 to get a project done, uh, at school, uh, and i'm humming or whistling in a sort of mad crazy way the tune to downtown they know *-3 to just stay away	uh, and my family now knows 0 if they come into my study and, uh, i happen *-1 to have had a tough day at work and maybe i'm trying *-2 to get a project done, uh, at school, uh, and i'm humming or whistling in a sort of mad crazy way the tune to downtown they know *-3 to just stay away,	
27907:14	discover	that i have no innate music talent relative to composition and that i struggle and really can't quite understand what is *t*-1 that other people take *t*-2 for granted, in composition themes	and then i inevitably discover that i have no innate music talent relative to composition and that i struggle and really can't quite understand what is *t*-1 that other people take *t*-2 for granted, in composition themes	
27950:52	knew	0 we were piano players	so we both have a secret background that *t*-1 says 0 somehow or another we just knew 0 we were piano players and never got a chance, uh,	
28219:6	know	0 that was a big thing in our house for a long time was that if i wanted my husband to do something *-1 to help, and even though we were both working the same number of hours, and, and doing things, i had *-2 to come in there specifically and say this needs *-3 to be done *-4	i know 0 that was a big thing in our house for a long time was that if i wanted my husband to do something *-1 to help, and even though we were both working the same number of hours, and, and doing things, i had *-2 to come in there specifically and say this needs *-3 to be done *-4,	
28371:6	know	0 mine almost never did	i know 0 mine almost never did...	
28492:6	knew	0 they were going *-1 to have *-2 to get a modem so that we could, mumblex in the decks machine so that we could, in my home, so that we could make it through this eight weeks or so	they knew 0 they were going *-1 to have *-2 to get a modem so that we could, mumblex in the decks machine so that we could, in my home, so that we could make it through this eight weeks or so.	
28976:11	know	that since i was on personal leave of absence that i had been, uh, terminated *-1 until i filed my insurance claims about four months later	i did not know that since i was on personal leave of absence that i had been, uh, terminated *-1 until i filed my insurance claims about four months later	negation
29322:9	admit	0 i work with, uh, someone who *t*-1's iranian	i will admit 0 i work with, uh, someone who *t*-1's iranian,	
29328:11	admit	0 i'm reasonably skeptical also	and i will admit 0 i'm reasonably skeptical also.	
29392:9	admit	0 it's interesting	i will admit 0 it's interesting.	
30013:85	know	0 we're going *-1 to have *t*-2	well, we, uh, me and my wife, when, when we have like extra money that we know 0 we're going *-1 to have *t*-2, and we can put it in our budget *t*-3, yeah, we'll, we'll use it.	conditional
30053:6	know	0 when i travel *t*-1, or when i used *-2 to travel overseas quite a bit *t*-3, what i would do *t*-4 on my american express card is before i would, before i left i would mail a check to, to american express and, you know, have some idea of how much *t*-5 was there	i know 0 when i travel *t*-1, or when i used *-2 to travel overseas quite a bit *t*-3, what i would do *t*-4 on my american express card is before i would, before i left i would mail a check to, to american express and, you know, have some idea of how much *t*-5 was there, you know,	
30068:27	knew	that it was paid *-1	but, uh, but i knew that it was paid *-1.	
30110:19	remember	0 on one trip to france when i started *-1 planning the trip *t*-2, i think, uh, a dollar was worth nine or ten francs and just in a matter of a week or two the dollar fell against the franc, drastically	uh, for example, i remember 0 on one trip to france when i started *-1 planning the trip *t*-2, i think, uh, a dollar was worth nine or ten francs and just in a matter of a week or two the dollar fell against the franc, drastically.	
30372:6	know	0 my stepfather bought my mother a little personal computer, oh, i guess *rnr*-1, probably three years ago for christmas	i know 0 my stepfather bought my mother a little personal computer, oh, i guess *rnr*-1, probably three years ago for christmas,	
30391:9	know	0 my boss has bought the software, um, that he can, that his checkbook is on, on on a disk	now i know 0 my boss has bought the software, um, that he can, that his checkbook is on, on on a disk,	
30725:18	know	0 they, there must have used, been computers or something for animation this day	and i mean, i know 0 they, there must have used, been computers or something for animation this day,	
31455:6	know	0 this sounds like a slogan for the government	i know 0 this sounds like a slogan for the government,	
31752:23	remember	that it was on into may	and i, i remember that it was on into may before it really started *-1 warming up,	
31882:31	realized	that it was eucalyptus	and then one day i, i realized that it was eucalyptus.	
32366:19	admit	0 i don't, i do my own yard	i'll have *-1 to admit 0 i don't, i do my own yard.	
33687:9	notice	0 in aerobics a lot of the women that *t*-1 don't look like they shouldn't be doing certain things	because i notice 0 in aerobics a lot of the women that *t*-1 don't look like they shouldn't be doing certain things	
34834:8	know	0 they're fake	and i know 0 they're fake.	
35715:111	knew	0 i was going *-1 to be able *-2 to get it for *t*-3 in arlington	but i, i guess 0 i got a pretty good deal, because i went back to the town north mazda right off central and offered them the same price as what i knew 0 i was going *-1 to be able *-2 to get it for *t*-3 in arlington	
35733:56	knew	0 they were going *-2 to pull it from town north	and what *t*-1's so funny, they took the car, they, i knew 0 they were going *-2 to pull it from town north because that's where the white one was *t*-1.	
36117:21	know	0 why they do it *t*-1 is so they can get them out of the house	well, you know, you know 0 why they do it *t*-1 is so they can get them out of the house.	
36448:52	know	0 it's good for me	you know, i usually do it because i want *-1 to, because i know 0 it's good for me, not because,	
36696:6	know	that i said, that's	i know that i said, that's,	
36891:6	know	0 i always i like mumblex *-1 to get right on the water	i know 0 i always i like mumblex *-1 to get right on the water,	
36941:17	realizing	that the communist system does not work to their satisfaction or their way of * surviving in this world	and the russian people are all realizing that the communist system does not work to their satisfaction or their way of * surviving in this world,	
36954:33	realize	that, uh, uh, the bush administration isn't too happy with, with how they're handling their internal, uh, strife *t*-2, you know, as far as diplomacy is concerned *-1	well, i do, i do realize that, uh, uh, the bush administration isn't too happy with, with how they're handling their internal, uh, strife *t*-2, you know, as far as diplomacy is concerned *-1.	
36961:16	realizes	that he's got a, a major uh, uh, power figure, you know, competing against him	i think 0 gorbachev realizes that he's got a, a major uh, uh, power figure, you know, competing against him,	
37034:19	know	0 you're going *-1 to have that with every society	i i know 0 you're going *-1 to have that with every society.	
37300:6	know	0 it's going *-1 to be a slow change	i know 0 it's going *-1 to be a slow change.	
37347:36	know	0 things are going *-2 to be a certain way	they, uh, they want *-1 to know 0 things are going *-2 to be a certain way.	
38107:14	know	0 they had anything like that	i didn't even know 0 they had anything like that.	
38595:11	realized	0 i had never read it *-1 growing up	and i just realized 0 i had never read it *-1 growing up.	
39858:32	know	0 it's really easy * to say *-1	um, as far as college teams, uh, i know 0 it's really easy * to say *-1,	
40354:11	noticed	0 they're always like a family owned center where the mother and the daughter and the son run it *t*-1, you know, kind of thing	have you ever noticed 0 they're always like a family owned center where the mother and the daughter and the son run it *t*-1, you know, kind of thing.	question
40375:28	know	0 *t*-1	or you wouldn't have him there, i know 0 *t*-1,	
40679:61	know	0 your son's too young right now	so, another thing that we tried *-1 to do *t*-2, i, i know 0 your son's too young right now, but we're trying, we tried *-1 to sign him up for after school scouts and, stuff like that	
41534:9	remember	0 they had some funny stories	i just remember 0 they had some funny stories,	
41567:6	know	0 many people are co-, very comfortable in the classroom and what have *t*-1 you *-2 wearing pants	i know 0 many people are co-, very comfortable in the classroom and what have *t*-1 you *-2 wearing pants.	
41819:72	know	0 i have *-3 to meet with a customer later during the day	and, you know, like when i'm writing training material *t*-1, i prefer *-2 to be more comfortable unless i know 0 i have *-3 to meet with a customer later during the day.	
41825:9	know	0 there's a lot of companies that *t*-1 are very strict about what the employees wear *t*-2	i do know 0 there's a lot of companies that *t*-1 are very strict about what the employees wear *t*-2	
42201:42	know	0 this, the, the kid was gone	so the parent, you know, these parents didn't know 0 this, the, the kid was gone until the kid is knocking on the door *-1 screaming, * let me in.	negation
42915:6	know	0 he is *?*	i know 0 he is *?*.	
42924:57	know	that i could or would even grab it	but, boy if someone did break in, i don't, i don't know that i could or would even grab it.	conditional
43315:6	knew	0 you were going *-1 to say that	i knew 0 you were going *-1 to say that.	
43590:27	forgotten	that it was christmas eve	and it was so good that i had forgotten that it was christmas eve.	
43811:6	remember	0 i went *-1 to see don quixote over there when it came out *t*-2	i remember 0 i went *-1 to see don quixote over there when it came out *t*-2.	
44397:31	knowing	that, hey, up in other english colonies, or previous english colonies, everything is equal and yet down there it's not *?*	or like you say, maybe communication of * knowing that, hey, up in other english colonies, or previous english colonies, everything is equal and yet down there it's not *?*,	
44425:11	know	that russia, they're, they're comparably more, better educated than we are *?*, in our country	well, i know that russia, they're, they're comparably more, better educated than we are *?*, in our country.	
44641:11	know	that a cat would do that	i don't know that a cat would do that, uh.	negation
44663:12	know	0 like when she has an accident *t*-1	so. i know 0 like when she has an accident *t*-1,	
44664:6	know	0 she's not doing it on purpose	i know 0 she's not doing it on purpose.	
44680:205	know	that she was unhappy with what i did *t*-1	like if i, if i put her in a room all by herself and close the door and leave her there for a few hours, uh, because i was going out. she would, uh, break something or rip up the carpet or do something just * to, uh, to, to let me know that she was unhappy with what i did *t*-1.	conditional
44972:15	know	0 my husband	and, uh, i know 0 my husband	
45006:9	know	0 here, uh, until you get into high school	because i know 0 here, uh, until you get into high school	
45090:18	know	that, uh, a lot of people vote in primaries for that very reason	uh, and i don't know that, uh, a lot of people vote in primaries for that very reason.	negation
45458:6	know	0 they are *?*	i know 0 they are *?*.	
45522:21	know	that they're not supposed *-1 to do it	yo-, they know that they're not supposed *-1 to do it,	
45523:37	know	0 they're not supposed *-2 to *?*	but they're going *-1 to do it anyway because they know 0 they're not supposed *-2 to *?*.	
45668:8	knows	0 it's wrong	and she knows 0 it's wrong,	
45674:25	knows	0 she does wrong	so, you, she knows 0 she does wrong.	
46217:6	know	0 it's, you know, worse in the larger cities	i know 0 it's, you know, worse in the larger cities.	
46483:11	know	0 what it is *t*-1 in singapore, is 0 they have the death penalty	now, i know 0 what it is *t*-1 in singapore, is 0 they have the death penalty	
46574:18	know	that they're going *-1 to get a slap on the wrist, they might serve a little bit of time and that they'll be out on the street again	and i think that people know that they're going *-1 to get a slap on the wrist, they might serve a little bit of time and that they'll be out on the street again.	
46792:10	know	that it's got *-1 to have a radio, it's got *-2 to have air conditioning	but, i know that it's got *-1 to have a radio, it's got *-2 to have air conditioning,,	
46862:6	know	0 that's what i want *t*-1	i know 0 that's what i want *t*-1,	
47362:6	know	0 george bush threw out the first pitch hitter mumblex bounced off the ground	i know 0 george bush threw out the first pitch hitter mumblex bounced off the ground	
47495:8	know	that last year	but i know that last year	
47553:6	know	0 i'm always scared of that whenever i go to a game *t*-1	i know 0 i'm always scared of that whenever i go to a game *t*-1.	
47792:8	know	0 manhattan's real expensive	and i know 0 manhattan's real expensive	
47961:11	realize	that it was better	but now i realize that it was better because, um, they have got into a lot of trouble, because of lack of supervision.	
48277:23	know	that any statement in absoluteness is not necessarily true	and i, i know that any statement in absoluteness is not necessarily true, uh,	
48374:23	know	0 this may sound kind of stereo typical	and i, i know 0 this may sound kind of stereo typical	
48523:11	know	0 there, there's got *-1 to be a lot of uses	well, i know 0 there, there's got *-1 to be a lot of uses,	
48831:6	know	that they, uh, have capital punishment for certain crimes	i know that they, uh, have capital punishment for certain crimes,	
50628:31	remember	0 *t*-2 when i had a t i ninety-nine *t*-1. * put all the money into the expansion box and all this, that and the other	i, uh, years ago, i remember 0 *t*-2 when i had a t i ninety-nine *t*-1. * put all the money into the expansion box and all this, that and the other	
50814:11	know	0 in	well, i know 0 in,	
50851:8	know	that that helps a lot with training and, um a lot of	but i know that that helps a lot with training and, um a lot of,	
50869:11	know	0 *t*-1 is run *-2 by the state	and that i know 0 *t*-1 is run *-2 by the state,	
51016:21	know	0 the government sells information *ich*-1 to private companies about individuals or families	i, i know 0 the government sells information *ich*-1 to private companies about individuals or families.	
51106:42	know	that the credit agency 0 you're using *t*-1 is incorrectly reporting the information that you're providing *t*-2 to them	and i said, uh, i just wanted *-3 to let you know that the credit agency 0 you're using *t*-1 is incorrectly reporting the information that you're providing *t*-2 to them.	
51590:11	noticed	0 a lot of these other schools that i went and interviewed on, or interviewed at *t*-1, um, they did a lot of play work and stuff	like, i noticed 0 a lot of these other schools that i went and interviewed on, or interviewed at *t*-1, um, they did a lot of play work and stuff.	
51657:66	know	0 she's going *-2 to have *-3 to face that	i wanted, *-1 to quit my job so i could stay home with her the next five months, because i know 0 she's going *-2 to have *-3 to face that.	
52051:6	know	0 that sounds funny *-1 coming from a woman	i know 0 that sounds funny *-1 coming from a woman,	
52244:6	know	0 that sounds awful because so many people think 0 he's so wonderful	i know 0 that sounds awful because so many people think 0 he's so wonderful	
52453:6	know	that they're still playing it	i know that they're still playing it	
52679:11	know	0 in jamaica, uh	i know 0 in jamaica, uh, it think 0 it's jamaica, i think 0 it's jamaica, i know that they have, you know, crimes punishable by death,	
52679:92	know	that they have, you know, crimes punishable by death	i know 0 in jamaica, uh, it think 0 it's jamaica, i think 0 it's jamaica, i know that they have, you know, crimes punishable by death,	
