Item_ID	Verb	Complement	Sentence	Environment	Subject	VerbNiteID	CompNiteID	VerbNiteID_duration	VerbNiteID_syllables	VerbNiteID_precedingPause	VerbNiteID_followingPause	VerbNiteID_spWindow	VerbNiteID_spWindowSyllablePosition	VerbNiteID_spWindowSyllables	VerbNiteID_spWindowSyllableDuration	VerbNiteID_spWindowTotalDuration	VerbNiteID_BreakIndex	VerbNiteID_PhraseTone	VerbNiteID_BoundaryTone	VerbNiteID_AccentStrength	VerbNiteID_AccentType
651:16	thought	--n400ab0 was interesting	the thing that i thought --n400ab0 was interesting was that the critics,		i	sw2010_s28_5	sw2010_s28_508	0.145625000000003	1	0	0	9	5	10	1.39025	1.39025					
656:47	notice	that it was three hours long, and all this, kind of	uh, and i had been told --n400c27, you know, you wouldn't notice that it was three hours long, and all this, kind of,	negation	you	sw2010_s31_17	sw2010_s31_516	0.340000000000003	2	0	0	11	12	25	4.49787499999999	4.60812499999999					
663:5	think	it's been nominated --n400f42 for twelve awards	i think it's been nominated --n400f42 for twelve awards		i	sw2010_s35_2	sw2010_s35_503	0.0949999999999989	1	0	0	15	3	41	5.60825	5.7175					
668:51	think	--n4012e7	and i, i, i tend --n4012cc to, i think --n4012e7, overreact occasionally when somebody tells me it's that great --n40131e.		i	sw2010_s39_18	sw2010_s39_520	0.200000000000003	1	0	0	13	5	20	3.792	3.792					
677:13	admit	i did look at my watch after about an hour	although, i must admit i did look at my watch after about an hour.		i	sw2010_s44_5	sw2010_s44_505	0.237375	2	0	0	17	13	27	4.847875	4.953625					
700:26	think	--n401c7b	those are two definite must see movies, i think --n401c7b.		i	sw2010_s58_10	sw2010_s58_508	0.344499999999996	1	0	6.28025	26	9	9	1.846125	2.04575					
707:10	think	it's very t-	i don't think it's very t-,	negation	i	sw2010_s63_4	sw2010_s63_504	0.129999999999995	1	0	0	27	7	28	5.267875	5.437375					
712:14	think	they're both excellent movies	but, uh, i think they're both excellent movies.		i	sw2010_s68_6	sw2010_s68_504	0.141125000000002	1	0	0	31	30	37	7.961375	8.0895					
755:168	know	it was going --n403324 to be good	the, the difficulty with, with dancing with wolves is that when you make a movie like that --n403297, and you produce it --n4032b2, and then you star in it --n4032d5, uh, the question is, did he, did he really know it was going --n403324 to be good	question	he	sw2010_s100_57	sw2010_s100_556	0.0799999999999841	1	0	0	44	9	21	3.038625	3.15924999999999					
760:27	think	he really knew it was going --n40371e to be as big as it was	but i, i don't think he really knew it was going --n40371e to be as big as it was.	negation	i	sw2010_s104_10	sw2010_s104_509	0.244624999999985	1	0	0	38	3	27	4.91887500000001	4.91887500000001					
760:39	knew	it was going --n40371e to be as big as it was	but i, i don't think he really knew it was going --n40371e to be as big as it was.		he	sw2010_s104_14	sw2010_s104_514	0.240000000000009	1	0	0	38	5	27	4.91887500000001	4.91887500000001					
761:5	think	it was something that he really wanted --n40387f to do --n40388e	i think it was something that he really wanted --n40387f to do --n40388e.		i	sw2010_s105_2	sw2010_s105_503	0.135625000000005	1	0	0	38	17	27	4.91887500000001	4.91887500000001					
765:7	think	he just really w-, he really wanted it	and i think he just really w-, he really wanted it.		i	sw2010_s109_3	sw2010_s109_503	0.176124999999985	1	0	0	40	13	19	4.37450000000001	4.50262499999999					
766:79	think	he would have been happy	and whether it, whether it won all kinds of awards or whether it just was okay at the box office, i think he would have been happy.		i	sw2010_s110_27	sw2010_s110_527	0.230000000000018	1	0	0	42	24	32	5.628625	5.628625					
832:8	think	we've done enough	i should think we've done enough.		i	sw2010_s151_3	sw2010_s151_504	0.21999999999997	1	0	0	61	26	30	4.21387500000003	4.21387500000003					
848:5	think	it just says hang up	i think it just says hang up.		i	sw2010_s161_2	sw2010_s161_503	0.150624999999991	1	0	0	62	11	16	2.61087500000002	2.71525000000003					
868:20	think	i agree with that	i, i think i agree with that.		i	sw2012_s6_7	sw2012_s6_508	0.191499999999998	1	0	0	1	3	18	3.046	55.250375					
869:5	think	in a good example on the typical thing that --n4009a7 happens, uh, when the phone rang --n4009ce and it's t i --n4009ed calling, my immediate reaction is that it's some sort of strange phone message	i think in a good example on the typical thing that --n4009a7 happens, uh, when the phone rang --n4009ce and it's t i --n4009ed calling, my immediate reaction is that it's some sort of strange phone message		i	sw2012_s7_2	sw2012_s7_503	0.258500000000005	1	0	0	1	10	18	3.046	55.250375					
886:22	think	that i receive on, on the order of, uh, probably, seven or eight a week calls of the nature where one wishes that there were a convenient way --n401185 to just hang up on it --n4011a4 --n4011ab	uh, and at the same time i think that i receive on, on the order of, uh, probably, seven or eight a week calls of the nature where one wishes that there were a convenient way --n401185 to just hang up on it --n4011a4 --n4011ab.		i	sw2012_s18_9	sw2012_s18_506	0.340000000000003	1	0	0	10	8	18	4.14637499999999	4.14637499999999					
900:5	think	they prey on people's, um, inherent politeness on the phone even with the machine	i think they prey on people's, um, inherent politeness on the phone even with the machine.		i	sw2012_s26_2	sw2012_s26_503	0.212500000000006	1	0	0	24	2	8	1.853875	1.853875					
904:8	think	that's what --n401c2f makes one feel invaded	and i think that's what --n401c2f makes one feel invaded is the fact that there seems --n401c5e to be little control		i	sw2012_s29_3	sw2012_s29_504	0.197249999999997	1	0	0	17	3	25	4.70262499999998	4.70262499999998					
922:12	think	i would have thought about that	and i don't think i would have thought about that.	negation	i	sw2012_s39_5	sw2012_s39_504	0.210000000000008	1	0	0	25	9	27	3.95875000000001	3.95875000000001					
923:5	think	that's a good idea on your part	i think that's a good idea on your part.		i	sw2012_s40_2	sw2012_s40_503	0.179999999999978	1	0	0	25	18	27	3.95875000000001	3.95875000000001					
931:22	think	that it's quite low, at least in this country	and, i'd like --n402be8 to think that it's quite low, at least in this country.		--n402be8	sw2012_s47_8	sw2012_s47_508	0.210000000000008	1	0	0	44	4	14	2.68437500000002	2.68437500000002					
935:10	think	i'd like the k g b is monitoring my phone or anything like that	i don't think i'd like the k g b is monitoring my phone or anything like that.	negation	i	sw2012_s49_4	sw2012_s49_504	0.263249999999999	1	0	0	45	3	18	3.65924999999999	3.65924999999999					
1048:7	realized	i have --n405e4c to behave in a certain way in order --n405e73 to not have people invade my privacy	but i realized i have --n405e4c to behave in a certain way in order --n405e73 to not have people invade my privacy.		i	sw2012_s120_3	sw2012_s120_503	0.589999999999975	3	0	0	82	3	35	6.30562500000002	6.30562500000002					
1084:19	realized	i could go out on the street and act like a complete lunatic	but on the other hand, i realized i could go out on the street and act like a complete lunatic,		i	sw2012_s145_8	sw2012_s145_505	0.490000000000009	3	0	0	96	8	26	4.05100000000004	4.05100000000004					
1100:43	realized	that's actually something that --n407931's culturally relative	and it wasn't until i was thinking about it just now that i realized that's actually something that --n407931's culturally relative.		i	sw2012_s155_15	sw2012_s155_515	0.29000000000002	3	0	0	105	11	24	3.93125000000003	3.93125000000003					
1198:7	think	a law should be passed --n40147b to where any of these people	and i think a law should be passed --n40147b to where any of these people,		i	sw2015_s38_3	sw2015_s38_503	0.195374999999999	1	2.53100000000001	0	20	1	33	5.21374999999999	5.21374999999999					
1199:5	think	it --n401557's great, that you know, freedom of speech in this country and everything	i think it --n401557's great, that you know, freedom of speech in this country and everything,		i	sw2015_s39_2	sw2015_s39_503	0.123374999999996	1	0	0	20	16	33	5.21374999999999	5.21374999999999					
1239:7	think	they should also respect the sanctity of the american home, whether it be in a house or in an apartment	but i think they should also respect the sanctity of the american home, whether it be in a house or in an apartment.		i	sw2015_s75_3	sw2015_s75_503	0.15587499999998	1	0	0	33	21	22	3.33350000000002	3.33350000000002					
1242:25	know	they exist	otherwise, i don't want --n403233 to know they exist.		--n403233	sw2015_s78_9	sw2015_s78_509	0.136000000000024	1	0	0	36	20	23	4.90137500000003	5.21550000000002					
1277:20	think	that that would stop people	but you know i don't think that that would stop people.	negation	i	sw2015_s110_7	sw2015_s110_508	0.180000000000007	1	0	0	54	6	12	2.02124999999995	2.02124999999995					
1301:5	believe	we've pretty much summed everything up	i believe we've pretty much summed everything up.		i	sw2015_s127_2	sw2015_s127_503	0.310000000000002	2	0	0	47	2	12	2.30025000000001	2.364375					
1304:7	remember	you, you talked about something	but i remember you, you talked about something,		i	sw2015_s129_3	sw2015_s129_503	0.24512500000003	3	0	0	66	5	24	4.06850000000003	4.14850000000001					
1366:5	think	there really is	i think there really is.		i	sw2018_s19_2	sw2018_s19_503	0.22475	0	0	0	7	7	8	4.747125	4.747125	3-	L	na	none	none
1373:5	think	you have --n4006ff to push one	i think you have --n4006ff to push one		i	sw2018_s23_2	sw2018_s23_503	0.22925	1	0	0	11	2	16	2.66125	2.66125	3	H	na	full	nuclear
1389:17	know	when my mother was a, you know, going into the work force --n400a6f there wasn't very many opportunities for her, i guess	i know because, i know when my mother was a, you know, going into the work force --n400a6f there wasn't very many opportunities for her, i guess,		i	sw2018_s33_6	sw2018_s33_507	0.230000000000004	1	0	0	15	2	8	1.2325	1.2325	1	na	na	full	plain
1395:5	think	no-, now, you go to work when they're six weeks old, you know --n400df3	i think no-, now, you go to work when they're six weeks old, you know --n400df3,		i	sw2018_s38_2	sw2018_s38_503	0.324249999999999	1	0	0	16	3	13	4.022	4.022	1p	na	na	full	nuclear
1404:5	think	it's definitely gotten better	i think it's definitely gotten better.		i	sw2018_s44_2	sw2018_s44_503	0.179999999999993	1	0	0	21	2	11	2.15374999999999	2.27374999999999	3	H	na	full	nuclear
1420:7	know	at least in the medical field, it seems like they've come out with a lot further advances as far as female medications and things since women have gotten into the doctor field	and i know at least in the medical field, it seems like they've come out with a lot further advances as far as female medications and things since women have gotten into the doctor field.		i	sw2018_s54_3	sw2018_s54_503	0.140000000000001	1	3.269125	0	24	1	28	4.438875	4.438875	2p	na	na	none	none
1424:10	think	that men really took the time to work on that sort of thing --n40167b	i don't think that men really took the time to work on that sort of thing --n40167b.	negation	i	sw2018_s56_4	sw2018_s56_504	0.189999999999998	1	0	0	26	3	12	3.081875	3.081875	1	na	na	none	none
1438:5	think	that would be the best goal	i think that would be the best goal.		i	sw2018_s64_2	sw2018_s64_503	0.230000000000004	1	0	0	29	18	23	3.440625	3.440625	1	na	na	none	none
1465:5	think	that would be a wonderful way to do it --n402222	i think that would be a wonderful way to do it --n402222.		i	sw2018_s83_2	sw2018_s83_503	0.159999999999997	1	0	0	37	2	13	1.69062499999998	1.69062499999998	1	na	na	full	plain
1516:7	think	that's real nice too, to come up with different options	so i think that's real nice too, to come up with different options.		i	sw2018_s114_3	sw2018_s114_503	0.219999999999999	1	0	0	57	3	20	4.45099999999999	4.45099999999999	1	na	na	none	none
1524:5	think	it's great	i think it's great.		i	sw2018_s119_2	sw2018_s119_503	0.25	1	0	0	52	7	9	3.069625	3.069625	1	na	na	none	none
1577:5	think	it's great	i think it's great,		i	sw2018_s154_2	sw2018_s154_503	0.180749999999989	1	0	0	66	2	5	1.75375000000003	1.75375000000003	1	na	na	none	none
1616:8	think	we've really come a long way in that	well i think we've really come a long way in that because,		i	sw2018_s181_3	sw2018_s181_504	0.234500000000025	1	0	0	73	3	12	3.05987499999998	3.05987499999998	4	L	L	full	nuclear
1634:7	know	she probably didn't make hardly anything, you know, compared to the work that she did --n4056ab	and i know she probably didn't make hardly anything, you know, compared to the work that she did --n4056ab.		i	sw2018_s194_3	sw2018_s194_503	0.21999999999997	1	0	0	89	25	37	5.55000000000001	5.73000000000002	1	na	na	weak	plain
1638:5	think	there is still some discrimination there where as, you know, men and women work in the same job --n40581d	i think there is still some discrimination there where as, you know, men and women work in the same job --n40581d,		i	sw2018_s196_2	sw2018_s196_503	0.169375000000002	1	0	0	91	2	17	2.97050000000002	3.13249999999999	1	na	na	none	none
1639:5	think	men get paid --n40593c more	i think men get paid --n40593c more,		i	sw2018_s197_2	sw2018_s197_503	0.259999999999991	1	0	0	92	9	13	2.81225000000001	2.81225000000001	1	na	na	none	none
1643:7	think	that's improving	but i think that's improving.		i	sw2018_s199_3	sw2018_s199_503	0.25	1	0	0	93	3	7	1.60449999999997	1.60449999999997	1	na	na	weak	plain
1646:12	see	that it's wrong	but, you can see that it's wrong		you	sw2018_s202_5	sw2018_s202_504	0.25	1	0	0	95	3	15	2.77787500000005	2.97000000000003	1	na	na	weak	plain
1657:5	think	it's getting better, not worse	i think it's getting better, not worse.		i	sw2018_s209_2	sw2018_s209_503	0.193874999999991	1	0	0	98	2	9	1.93262499999997	1.93262499999997	1	na	na	none	none
1705:10	think	i like	um, i think i like,		i	sw2020_s22_4	sw2020_s22_504	0.15175	1	0	0	21	2	4	0.632750000000001	0.632750000000001					
1712:10	think	i like a lot	i think i like a lot, i like a little bit of a lot of different types of music.		i	sw2020_s27_3	sw2020_s27_506	0.172750000000008	1	0	0	27	9	13	2.31999999999999	2.31999999999999					
1756:70	think	--n401e2f	the, the piece of music, the piece of music was about, i think --n401e2f about forty or fifty years old.		i	sw2020_s53_24	sw2020_s53_527	0.125249999999994	1	0	0	55	10	19	2.805375	2.805375					
1773:14	thinks	it --n40283a's pretty funny how often i know all of the words to songs that she's listening to --n402889 --n402890	and, uh, she thinks it --n40283a's pretty funny how often i know all of the words to songs that she's listening to --n402889 --n402890,		she	sw2020_s65_6	sw2020_s65_504	0.24237500000001	1	0.132249999999999	0	33	3	4	0.91987499999999	1.05212499999999					
1774:12	thought	they were brand new, original pieces	and yet, she thought they were brand new, original pieces.		she	sw2020_s66_5	sw2020_s66_504	0.390000000000015	1	0	0	36	4	8	1.82124999999999	1.82124999999999					
1786:5	think	it's kind of absurd, you know, the fact that, you know, they don't really, they don't really give, you know, the original artist, or the original composer, the credit that --n402dd5 is really due to them	i think it's kind of absurd, you know, the fact that, you know, they don't really, they don't really give, you know, the original artist, or the original composer, the credit that --n402dd5 is really due to them.		i	sw2020_s71_2	sw2020_s71_503	0.160249999999991	1	0	0	73	2	12	2.15924999999999	2.15924999999999					
1830:5	think	that was a cov-	i think that was a cov-,		i	sw2020_s98_2	sw2020_s98_503	0.147874999999999	1	0	0	86	2	22	3.3905	3.6935					
1831:39	think	that was a cover version of, like a john lee hooker song, or something	you know, come --n403ecb to think of it, i think that was a cover version of, like a john lee hooker song, or something,		i	sw2020_s99_13	sw2020_s99_516	0.160374999999988	1	0	0	86	14	22	3.3905	3.6935					
1843:51	thought	--n4043ac were horrendous cover versions of	i mean i've heard some songs that, that i just thought --n4043ac were horrendous cover versions of,		i	sw2020_s107_16	sw2020_s107_521	0.199999999999989	1	0	0	92	4	22	4.69100000000003	4.69100000000003					
1856:20	think	a good one was, um	i, i think a good one was, um,		i	sw2020_s116_7	sw2020_s116_508	0.138249999999971	1	0	0	98	3	8	1.76675	1.91325000000001					
1864:7	thought	it was hideous	and i thought it was hideous.		i	sw2020_s121_3	sw2020_s121_503	0.188249999999982	1	0	0	68	16	23	4.78099999999995	4.94299999999998					
1884:5	think	it was in high school	i think it was in high school.		i	sw2020_s135_2	sw2020_s135_503														
1887:5	think	that probably what --n40534e did it for him was the fact that he was a good stage performer	i think that probably what --n40534e did it for him was the fact that he was a good stage performer.		i	sw2020_s137_2	sw2020_s137_503	0.156375000000025	1	0	0	107	3	24	4.51362499999999	4.78862500000002					
1891:5	remember	i saw him in a huge stadium in, uh, philadelphia	i remember i saw him in a huge stadium in, uh, philadelphia.		i	sw2020_s140_2	sw2020_s140_503	0.240124999999978	3	0	0	73	7	14	2.13962500000002	2.33337499999999					
1959:47	think	--n406ca5	but, what, what paul simon's doing --n406c8e, i think --n406ca5 is, is, is great because he's, you know i think, i think that using, i guess what they call --n406d38 it is --n406d47 eclectic, you know. --n406d62 drawing from a lot of different sources and making, you know, a synthesis of a new type of music.		i	sw2020_s184_16	sw2020_s184_517	0.240999999999985	1	0	0	147	8	11	2.79787500000003	2.79787500000003					
2005:5	think	that they don't use, elec-	i think that they don't use, elec-,		i	sw2020_s214_2	sw2020_s214_503	0.269124999999917	1	0	0	194	2	6	1.20574999999997	1.34699999999998					
2303:10	know	that i read anything strictly labeled self improvement	i don't know that i read anything strictly labeled self improvement.	negation	i	sw2024_s39_4	sw2024_s39_504	0.0999999999999943	1	0	0	29	3	17	3.581875	3.581875					
2374:5	think	if somebody would say hey, read these ten books because these are self-improvements, i would probably be turned --n403ec9 off to them	i think if somebody would say hey, read these ten books because these are self-improvements, i would probably be turned --n403ec9 off to them.		i	sw2024_s83_2	sw2024_s83_503	0.17999999999995	1	0	0	90	4	25	5.07074999999998	5.32662499999998					
2401:14	think	sometimes the word is a little over used	but, uh, i think sometimes the word is a little over used		i	sw2024_s101_6	sw2024_s101_504	0.165249999999958	1	0.66662500000001	0	76	1	13	2.22612499999997	2.22612499999997					
2407:38	think	we, we name drop it a little too much and, and don't fully understand what, what it is --n404d99 we're saying	yeah, we, we have, i think we, we name drop it a little too much and, and don't fully understand what, what it is --n404d99 we're saying.		i	sw2024_s104_14	sw2024_s104_515	0.180000000000007	1	0	0	104	5	10	2.07349999999997	2.07349999999997					
2408:5	think	it's just focusing in on the issue and walking your talk	i think it's just focusing in on the issue and walking your talk		i	sw2024_s105_2	sw2024_s105_503	0.180000000000007	1	0	0	106	8	24	3.63612499999999	3.63612499999999					
2419:10	think	i'm under my quota a little bit	um, i think i'm under my quota a little bit.		i	sw2024_s112_4	sw2024_s112_504	0.163374999999974	1	0	0	112	2	16	1.75274999999999	1.75274999999999					
2473:37	know	that they're going --n40163e to be there	and, and, you know, if i know that they're going --n40163e to be there, you know, you, i try --n401671 to really watch it and like you say, you know, really dress up	conditional	i	sw2027_s30_13	sw2027_s30_513	0.343000000000004	1	0	0	9	6	34	6.97850000000001	7.308125					
2477:11	know	they're not, you know	and if i know they're not, you know,	conditional	i	sw2027_s32_4	sw2027_s32_505	0.22912500000001	1	0	0	9	32	34	6.97850000000001	7.308125					
2490:22	thought	i had one funny story	as a matter of fact, i thought i had one funny story		i	sw2027_s40_8	sw2027_s40_508	0.225625000000008	1	0	0	12	6	15	2.872	2.872					
2503:20	know	we weren't supposed --n4023a2 to	and so, we didn't really know we weren't supposed --n4023a2 to,		we	sw2027_s51_8	sw2027_s51_506	0.190374999999989	1	0	0	16	24	43	9.15649999999999	9.47662499999998					
2504:5	thought	t i dress code was just dress appropriate to your job	we thought t i dress code was just dress appropriate to your job,		we	sw2027_s52_2	sw2027_s52_503	0.321625000000012	1	0	0	16	31	43	9.15649999999999	9.47662499999998					
2509:10	know	that was a big no, no	we didn't know that was a big no, no.	negation	we	sw2027_s55_4	sw2027_s55_504	0.168749999999989	1	0	0	18	4	10	2.42749999999998	2.42749999999998					
2516:11	realized	that we weren't regulars in the warehouse there	he should have realized that we weren't regulars in the warehouse there.		he	sw2027_s60_4	sw2027_s60_505	0.490000000000009	3	0	0	21	9	13	2.49712499999998	2.49712499999998					
2524:47	know	you're not supposed --n402c93 to do that	he didn't at, at least say to us, did you know you're not supposed --n402c93 to do that.	question	you	sw2027_s66_17	sw2027_s66_515	0.0966249999999889	1	0	0	26	6	33	7.00650000000002	7.00650000000002					
2601:8	think	t i's dress code is pretty lax considering everything, anyway	well i think t i's dress code is pretty lax considering everything, anyway, you know, uh.		i	sw2027_s118_3	sw2027_s118_504	0.176874999999995	1	0	0	40	3	9	2.36899999999997	2.47449999999998					
2644:10	know	that that would be a good environment to work in --n40594f	i don't know that that would be a good environment to work in --n40594f.	negation	i	sw2027_s145_4	sw2027_s145_504	0.161999999999978	1	0	0	51	3	19	2.80700000000002	2.80700000000002					
2733:9	think	a lot of times it's, it's mainly who they're going --n4082ed to meet with --n408300	but, i think a lot of times it's, it's mainly who they're going --n4082ed to meet with --n408300,		i	sw2027_s207_4	sw2027_s207_503	0.193250000000035	1	0	0	68	2	39	6.58075000000002	6.58075000000002					
2734:29	know	--n408447 is going --n408456 to be dressed --n408469 that way	or they're meeting with people that they know --n408447 is going --n408456 to be dressed --n408469 that way then that's how they are --n408490.		they	sw2027_s208_9	sw2027_s208_513	0.208124999999995	1	0	0	68	27	39	6.58075000000002	6.58075000000002					
2746:43	know	--n408b67 are going --n408b76 to be dressed down	if when they're meeting with the engineers who they know --n408b67 are going --n408b76 to be dressed down --n408b8d, if they come in, in, you know, a six hundred dollar three piece suit, it's going --n408bec to make the people they're meeting with --n408c17 feel very uncomfortable, you know,	conditional	they	sw2027_s215_13	sw2027_s215_519	0.120124999999916	1	0	0	86	14	36	5.84575000000007	6.10337500000003					
2822:5	think	right now it's like sixty-nine	i think right now it's like sixty-nine,		i	sw2028_s20_2	sw2028_s20_503	0.190375000000003	1	0	0	14	3	9	2.12	2.12					
2842:14	think	a lot of people have contracted, uh, spring fever too	and, uh, i think a lot of people have contracted, uh, spring fever too,		i	sw2028_s34_6	sw2028_s34_504														
2902:5	thought	i heard this morning that in san antonio it was in the nineties yesterday	i thought i heard this morning that in san antonio it was in the nineties yesterday.		i	sw2028_s67_2	sw2028_s67_503	0.259999999999991	1	0	0	51	4	25	4.97725	4.97725					
2913:61	believe	that the wind blows all the time	it's amazing to me because i have only lived in dallas for three years, and i can not believe that the wind blows all the time.	negation	i	sw2028_s75_23	sw2028_s75_521	0.389999999999986	2	0	0	54	5	13	3.178	3.178					
2970:10	thought	i heard a little tennessee in there somewhere	well, i thought i heard a little tennessee in there somewhere.		i	sw2028_s107_4	sw2028_s107_504	0.160374999999988	1	0	0	73	3	12	1.41362499999997	1.41362499999997					
3070:5	know	that's what we're supposed --n405112 to do --n405121	i know that's what we're supposed --n405112 to do --n405121.		i	sw2028_s165_2	sw2028_s165_503	0.11099999999999	1	0	0	121	9	16	3.849875	3.849875					
3079:10	thought	it --n40543f's not necessary to measure your time, just to go ahead and enjoy the conversation, and, and, end it when needed --n4054b2 --n4054b9	and i always thought it --n40543f's not necessary to measure your time, just to go ahead and enjoy the conversation, and, and, end it when needed --n4054b2 --n4054b9.		i	sw2028_s173_4	sw2028_s173_504	0.379999999999995	1	0	0.220000000000027	116	4	4	0.759999999999991	0.759999999999991					
3591:5	know	with	you know with,		you	sw2032_s288_2	sw2032_s288_503	0.159999999999968	1	0	0	109	2	3	0.522249999999985	0.522249999999985					
3745:18	think	it --n40214d's wonderful just maybe to go --n402170 get an ice cream cone or, yeah, or, uh, you know, go --n4021bb get a bag of m and m's or something like that	you know the kids just think it --n40214d's wonderful just maybe to go --n402170 get an ice cream cone or, yeah, or, uh, you know, go --n4021bb get a bag of m and m's or something like that,		the kids	sw2035_s57_6	sw2035_s57_508	0.260000000000005	1	0	0	43	6	16	2.7465	2.7465					
3749:20	think	that's a lot of fun	they, they think that's a lot of fun.		they	sw2035_s59_7	sw2035_s59_508	0.239999999999981	1	0	0	47	2	21	3.95474999999999	3.95474999999999					
3777:7	thought	that was wonderful	the kids thought that was wonderful.		the kids	sw2035_s79_3	sw2035_s79_503	0.208124999999995	1	0	0	58	3	8	1.75699999999998	1.75699999999998					
3782:24	think	it's --n402e80	we've only been in, i think it's --n402e80 science place two.		i	sw2035_s83_8	sw2035_s83_510	0.136625000000009	1	0	0	32	2	7	1.44574999999998	1.44574999999998					
3799:5	think	it's owens country farms --n403596 has a free petting, you know, like a farm that you can go to --n4035dd	i think it's owens country farms --n403596 has a free petting, you know, like a farm that you can go to --n4035dd		i	sw2035_s95_2	sw2035_s95_503	0.179999999999978	1	0	0	66	3	4	0.678249999999991	0.678249999999991					
3817:16	think	that was a lot of fun	and, uh, the kids think that was a lot of fun, too.		the kids	sw2035_s107_7	sw2035_s107_504	0.307625000000002	1	0	0	75	4	11	2.25299999999999	2.36512500000001					
3823:7	think	it --n403d00's wonderful just --n403d13 to go to mcdonald's	or they think it --n403d00's wonderful just --n403d13 to go to mcdonald's, you know,		they	sw2035_s111_3	sw2035_s111_503	0.210000000000008	1	0	0	77	7	30	4.82150000000001	4.82150000000001					
3847:5	think	maybe we'll try --n4043dd to do that	i think maybe we'll try --n4043dd to do that.		i	sw2035_s126_2	sw2035_s126_503	0.22999999999999	1	0	0	45	5	8	1.44725	1.44725					
3860:9	thought	that was lot of fun	but, they thought that was lot of fun.		they	sw2035_s136_4	sw2035_s136_503	0.20999999999998	1	0	0	92	2	16	2.73750000000001	2.82749999999999					
